Attribute,Methods,Notes
SP_REG_BRTH_FE_ZS,january_only interpolate_via_linear forward_fill back_fill,
SP_REG_BRTH_MA_ZS,january_only interpolate_via_linear forward_fill back_fill,
SP_REG_BRTH_RU_ZS,january_only interpolate_via_linear forward_fill back_fill,
SP_REG_BRTH_UR_ZS,january_only interpolate_via_linear forward_fill back_fill,
SP_REG_BRTH_ZS,january_only interpolate_via_linear forward_fill back_fill,
myers,first_valid_overwrite,
Childhood_vaccination_requirement,"forward_fill back_fill remap_by_{'n':0,'c':1}",
Emergency_vaccination_authority,"forward_fill back_fill remap_by_{'n':0,'e':1}",
Enforcement_of_childhood_vaccination_requirement_1,"forward_fill back_fill remap_by_{'n':0,'l':1,'s':1,'2':1,'f':1}",
Enforcement_of_childhood_vaccination_requirement_2,"forward_fill back_fill remap_by_{'n':0,'s':1,'2':1}",
Enforcement_of_emergency_vaccination_1,"forward_fill back_fill remap_by_{'n':0,'s':1,'l':1,'2':1}",
Enforcement_of_emergency_vaccination_2,"forward_fill back_fill remap_by_{'n':0,'s':1,'l':1}",
Exemption_from_childhood_vaccination_requirement,"forward_fill back_fill remap_by_{'n':0,'m':1}",
Measles_vaccination,"forward_fill back_fill remap_by_{'Measles_vaccination_is_not_required':0,'Measles_vaccination_is_required':1}",
total_road_length_km,pass_unchanged,
cuml_cases,back_truncate interpolate_via_cubic zero_min,
outbreak_20_per_M,back_truncate yn_to_int,
outbreak_2_per_M,back_truncate yn_to_int,
outbreak_5_per_M,back_truncate yn_to_int,
outbreak_20_cuml_per_M,back_truncate yn_to_int,
mnths_since_outbreak_20_per_M,back_truncate,
num_outbreak_20_per_M,back_truncate,
mnths_since_outbreak_2_per_M,back_truncate,
num_outbreak_2_per_M,back_truncate,
mnths_since_outbreak_20_cuml_per_M,back_truncate,
num_outbreak_20_cuml_per_M,back_truncate,
years_with_outbreak,average_valid_overwrite,
mean_max_temp,back_truncate interpolate_via_cubic,
mean_precip_mm_per_day,back_truncate interpolate_via_cubic zero_min,
total_precip_mm_per_day,back_truncate interpolate_via_cubic zero_min,
incoming_air_passengers,back_truncate,
outgoing_air_passengers,back_truncate,
cases,back_truncate forward_truncate interpolate_via_cubic zero_min,"# operations now run in sequence, so truncates should be placed near the end as they might shed useful interpolable data in other columns"
cases_1M,back_truncate forward_truncate interpolate_via_cubic zero_min,
cuml_cases_1M,back_truncate forward_truncate interpolate_via_cubic zero_min,
AG.LND.AGRI.ZS,january_only interpolate_via_linear forward_fill back_fill,
EG.ELC.ACCS.RU.ZS,january_only interpolate_via_linear forward_fill back_fill,
EG.ELC.ACCS.UR.ZS,january_only interpolate_via_linear forward_fill back_fill,
EG.USE.ELEC.KH.PC,january_only interpolate_via_linear forward_fill back_fill,
EG.USE.PCAP.KG.OE,january_only interpolate_via_linear forward_fill back_fill,
EN.POP.SLUM.UR.ZS,january_only interpolate_via_linear forward_fill back_fill,
EN.URB.MCTY.TL.ZS,january_only interpolate_via_linear forward_fill back_fill,
GE.EST,january_only interpolate_via_linear forward_fill back_fill,
GE.PER.RNK,january_only interpolate_via_linear forward_fill back_fill,
MS.MIL.XPND.GD.ZS,january_only interpolate_via_linear forward_fill back_fill,
NY.ADJ.AEDU.CD,january_only interpolate_via_linear forward_fill back_fill,
NY.ADJ.NNTY.PC.CD,january_only interpolate_via_linear forward_fill back_fill,
NY.GDP.MKTP.CD,january_only interpolate_via_linear forward_fill back_fill,
NY.GDP.MKTP.KD.ZG,january_only interpolate_via_linear forward_fill back_fill,
NY.GDP.PCAP.CD,january_only interpolate_via_linear forward_fill back_fill,
PV.EST,january_only interpolate_via_linear forward_fill back_fill,
PV.PER.RNK,january_only interpolate_via_linear forward_fill back_fill,
RL.EST,january_only interpolate_via_linear forward_fill back_fill,
RL.PER.RNK,january_only interpolate_via_linear forward_fill back_fill,
SE.ADT.1524.LT.ZS,january_only interpolate_via_linear forward_fill back_fill,
SE.PRE.ENRR,january_only interpolate_via_linear forward_fill back_fill,
SE.PRM.ENRR,january_only interpolate_via_linear forward_fill back_fill,
SE.PRM.TENR,january_only interpolate_via_linear forward_fill back_fill,
SE.PRM.UNER.ZS,january_only interpolate_via_linear forward_fill back_fill,
SE.SEC.ENRR,january_only interpolate_via_linear forward_fill back_fill,
SE.SEC.UNER.LO.ZS,january_only interpolate_via_linear forward_fill back_fill,
SH.DTH.COMM.ZS,january_only interpolate_via_linear forward_fill back_fill,
SH.DYN.0509,january_only interpolate_via_linear forward_fill back_fill,
SH.DYN.MORT,january_only interpolate_via_linear forward_fill back_fill,
SH.H2O.BASW.ZS,january_only interpolate_via_linear forward_fill back_fill,
SH.H2O.SMDW.ZS,january_only interpolate_via_linear forward_fill back_fill,
SH.MED.PHYS.ZS,january_only interpolate_via_linear forward_fill back_fill,
SH.STA.MMRT,january_only interpolate_via_linear forward_fill back_fill,
SH.XPD.CHEX.GD.ZS,january_only interpolate_via_linear forward_fill back_fill,
SH.XPD.GHED.GD.ZS,january_only interpolate_via_linear forward_fill back_fill,
SI.POV.NAHC,january_only interpolate_via_linear forward_fill back_fill,
SI.POV.SOPO,january_only interpolate_via_linear forward_fill back_fill,
SL.AGR.0714.ZS,january_only interpolate_via_linear forward_fill back_fill,
SL.MNF.0714.ZS,january_only interpolate_via_linear forward_fill back_fill,
SL.SRV.0714.ZS,january_only interpolate_via_linear forward_fill back_fill,
SL.TLF.0714.WK.TM,january_only interpolate_via_linear forward_fill back_fill,
SL.TLF.0714.ZS,january_only interpolate_via_linear forward_fill back_fill,
SM.POP.REFG,january_only interpolate_via_linear forward_fill back_fill,
SM.POP.REFG.OR,january_only interpolate_via_linear forward_fill back_fill,
SN.ITK.DEFC.ZS,january_only interpolate_via_linear forward_fill back_fill,
SN.ITK.SVFI.ZS,january_only interpolate_via_linear forward_fill back_fill,
SP.REG.BRTH.ZS,january_only interpolate_via_linear forward_fill back_fill,
SP.RUR.TOTL.ZS,january_only interpolate_via_linear forward_fill back_fill,
SP.URB.TOTL.IN.ZS,january_only interpolate_via_linear forward_fill back_fill,
deaths_in_armed_conflict,zero_fill january_only divide_by_12 interpolate_via_linear,
passengers_from_iso3_reporting_cases,zero_fill,
passengers_to_iso3_reporting_cases,zero_fill,
,,
Scikit-learn gradient boosted regression,encode_onehot_on_ID,
Scikit-learn generic: AdaBoost regressor,encode_onehot_on_ID,
Scikit-learn generic: AutoETS,encode_onehot_on_ID,
Scikit-learn generic: ElasticNet,encode_onehot_on_ID,
Scikit-learn generic: SGDRegressor,encode_onehot_on_ID,
Scikit-learn generic: SVR,encode_onehot_on_ID,
Scikit-learn generic: BayesianRidge,encode_onehot_on_ID,
Scikit-learn generic: KernelRidge,encode_onehot_on_ID,
Scikit-learn generic: CatBoostRegressor,encode_onehot_on_ID,
Scikit-learn generic: LinearRegression,encode_onehot_on_ID,
Scikit-learn generic: XGBRegressor,encode_onehot_on_ID,
Scikit-learn generic: LGBMRegressor,encode_onehot_on_ID,
NeuralProphet lagged regressors,pass_unchanged,
